Agency,Gage,Timestamp,Discharge [cfs],Stage [ft]
USGS,5355200,10/1/1991,253,0.162622847
USGS,5355200,10/2/1991,266,0.170978962
USGS,5355200,10/3/1991,328,0.210831201
USGS,5355200,10/4/1991,269,0.172907296
USGS,5355200,10/5/1991,318,0.204403421
USGS,5355200,10/6/1991,349,0.22432954
USGS,5355200,10/7/1991,311,0.199903974
USGS,5355200,10/8/1991,304,0.195404528
USGS,5355200,10/9/1991,469,0.301462906
USGS,5355200,10/10/1991,345,0.221758428
USGS,5355200,10/11/1991,416,0.26739567
USGS,5355200,10/12/1991,331,0.212759535
USGS,5355200,10/13/1991,326,0.209545645
USGS,5355200,10/14/1991,349,0.22432954
USGS,5355200,10/15/1991,391,0.251326218
USGS,5355200,10/16/1991,322,0.206974533
USGS,5355200,10/17/1991,345,0.221758428
USGS,5355200,10/18/1991,475,0.305319575
USGS,5355200,10/19/1991,367,0.235899545
USGS,5355200,10/20/1991,381,0.244898438
USGS,5355200,10/21/1991,364,0.233971211
USGS,5355200,10/22/1991,367,0.235899545
USGS,5355200,10/23/1991,393,0.252611774
USGS,5355200,10/24/1991,448,0.287964567
USGS,5355200,10/25/1991,496,0.318817914
USGS,5355200,10/26/1991,399,0.256468443
USGS,5355200,10/27/1991,331,0.212759535
USGS,5355200,10/28/1991,384,0.246826772
USGS,5355200,10/29/1991,432,0.277680118
USGS,5355200,10/30/1991,318,0.204403421
USGS,5355200,10/31/1991,436,0.280251231
USGS,5355200,11/1/1991,576,0.370240158
USGS,5355200,11/2/1991,378,0.242970104
USGS,5355200,11/3/1991,365,0.234613989
USGS,5355200,11/4/1991,472,0.303391241
USGS,5355200,11/5/1991,676,0.434517963
USGS,5355200,11/6/1991,549,0.352885151
USGS,5355200,11/7/1991,580,0.37281127
USGS,5355200,11/8/1991,588,0.377953495
USGS,5355200,11/9/1991,644,0.413949065
USGS,5355200,11/10/1991,508,0.32653125
USGS,5355200,11/11/1991,474,0.304676797
USGS,5355200,11/12/1991,407,0.261610667
USGS,5355200,11/13/1991,390,0.25068344
USGS,5355200,11/14/1991,420,0.269966782
USGS,5355200,11/15/1991,497,0.319460692
USGS,5355200,11/16/1991,727,0.467299644
USGS,5355200,11/17/1991,892,0.573358022
USGS,5355200,11/18/1991,1250,0.803472565
USGS,5355200,11/19/1991,1850,1.189139396
