,Agency,Gage,Timestamp,Discharge [cfs],Stage [ft],Discharge [m^3/s]
0,USGS,5355200,10/1/1991,253.0,0.162622847,7.1641504
1,USGS,5355200,10/2/1991,266.0,0.170978962,7.5322688
2,USGS,5355200,10/3/1991,328.0,0.210831201,9.2879104
3,USGS,5355200,10/4/1991,269.0,0.172907296,7.6172192
4,USGS,5355200,10/5/1991,318.0,0.204403421,9.0047424
5,USGS,5355200,10/6/1991,349.0,0.22432954,9.8825632
6,USGS,5355200,10/7/1991,311.0,0.199903974,8.8065248
7,USGS,5355200,10/8/1991,304.0,0.195404528,8.6083072
8,USGS,5355200,10/9/1991,469.0,0.301462906,13.2805792
9,USGS,5355200,10/10/1991,345.0,0.221758428,9.769296
10,USGS,5355200,10/11/1991,416.0,0.26739567,11.7797888
11,USGS,5355200,10/12/1991,331.0,0.212759535,9.3728608
12,USGS,5355200,10/13/1991,326.0,0.209545645,9.2312768
13,USGS,5355200,10/14/1991,349.0,0.22432954,9.8825632
14,USGS,5355200,10/15/1991,391.0,0.251326218,11.0718688
15,USGS,5355200,10/16/1991,322.0,0.206974533,9.1180096
16,USGS,5355200,10/17/1991,345.0,0.221758428,9.769296
17,USGS,5355200,10/18/1991,475.0,0.305319575,13.45048
18,USGS,5355200,10/19/1991,367.0,0.235899545,10.3922656
19,USGS,5355200,10/20/1991,381.0,0.244898438,10.788700799999999
20,USGS,5355200,10/21/1991,364.0,0.233971211,10.3073152
21,USGS,5355200,10/22/1991,367.0,0.235899545,10.3922656
22,USGS,5355200,10/23/1991,393.0,0.252611774,11.1285024
23,USGS,5355200,10/24/1991,448.0,0.287964567,12.6859264
24,USGS,5355200,10/25/1991,496.0,0.318817914,14.0451328
25,USGS,5355200,10/26/1991,399.0,0.256468443,11.2984032
26,USGS,5355200,10/27/1991,331.0,0.212759535,9.3728608
27,USGS,5355200,10/28/1991,384.0,0.246826772,10.8736512
28,USGS,5355200,10/29/1991,432.0,0.277680118,12.232857599999999
29,USGS,5355200,10/30/1991,318.0,0.204403421,9.0047424
30,USGS,5355200,10/31/1991,436.0,0.280251231,12.3461248
31,USGS,5355200,11/1/1991,576.0,0.370240158,16.3104768
32,USGS,5355200,11/2/1991,378.0,0.242970104,10.7037504
33,USGS,5355200,11/3/1991,365.0,0.234613989,10.335632
34,USGS,5355200,11/4/1991,472.0,0.303391241,13.3655296
35,USGS,5355200,11/5/1991,676.0,0.434517963,19.1421568
36,USGS,5355200,11/6/1991,549.0,0.352885151,15.545923199999999
37,USGS,5355200,11/7/1991,580.0,0.37281127,16.423744
38,USGS,5355200,11/8/1991,588.0,0.377953495,16.6502784
39,USGS,5355200,11/9/1991,644.0,0.413949065,18.2360192
40,USGS,5355200,11/10/1991,508.0,0.32653125,14.3849344
41,USGS,5355200,11/11/1991,474.0,0.304676797,13.4221632
42,USGS,5355200,11/12/1991,407.0,0.261610667,11.5249376
43,USGS,5355200,11/13/1991,390.0,0.25068344,11.043552
44,USGS,5355200,11/14/1991,420.0,0.269966782,11.893056
45,USGS,5355200,11/15/1991,497.0,0.319460692,14.0734496
46,USGS,5355200,11/16/1991,727.0,0.467299644,20.5863136
47,USGS,5355200,11/17/1991,892.0,0.573358022,25.2585856
48,USGS,5355200,11/18/1991,1250.0,0.803472565,35.396
49,USGS,5355200,11/19/1991,1850.0,1.189139396,52.38608
50,USGS,5355200,11/20/1991,2120.0,1.36268947,60.031616
51,USGS,5355200,11/21/1991,2520.0,1.619800691,71.358336
52,USGS,5355200,11/22/1991,2750.0,1.767639643,77.8712
53,USGS,5355200,11/23/1991,2850.0,1.831917448,80.70288
54,USGS,5355200,11/24/1991,3420.0,2.198300938,96.843456
55,USGS,5355200,11/25/1991,3800.0,2.442556597,107.60384
56,USGS,5355200,11/26/1991,3750.0,2.410417695,106.188
57,USGS,5355200,11/27/1991,2900.0,1.864056351,82.11872
58,USGS,5355200,11/28/1991,2600.0,1.671222935,73.62368
59,USGS,5355200,11/29/1991,2300.0,1.478389519,65.12864
60,USGS,5355200,11/30/1991,2050.0,1.317695007,58.04944
61,USGS,5355200,12/1/1991,1850.0,1.189139396,52.38608
62,USGS,5355200,12/2/1991,1650.0,1.060583786,46.72272
63,USGS,5355200,12/3/1991,1500.0,0.964167078,42.4752
64,USGS,5355200,12/4/1991,1370.0,0.880605931,38.794016
65,USGS,5355200,12/5/1991,1220.0,0.784189223,34.546496
66,USGS,5355200,12/6/1991,1130.0,0.726339199,31.997984
67,USGS,5355200,12/7/1991,1090.0,0.700628077,30.865312
68,USGS,5355200,12/8/1991,1360.0,0.874178151,38.510848
69,USGS,5355200,12/9/1991,1090.0,0.700628077,30.865312
70,USGS,5355200,12/10/1991,1090.0,0.700628077,30.865312
71,USGS,5355200,12/11/1991,1080.0,0.694200296,30.582144
72,USGS,5355200,12/12/1991,1070.0,0.687772516,30.298976
73,USGS,5355200,12/13/1991,1160.0,0.74562254,32.847488
74,USGS,5355200,12/14/1991,1370.0,0.880605931,38.794016
75,USGS,5355200,12/15/1991,1360.0,0.874178151,38.510848
76,USGS,5355200,12/16/1991,1110.0,0.713483638,31.431648
77,USGS,5355200,12/17/1991,1090.0,0.700628077,30.865312
78,USGS,5355200,12/18/1991,1160.0,0.74562254,32.847488
79,USGS,5355200,12/19/1991,1070.0,0.687772516,30.298976
80,USGS,5355200,12/20/1991,914.0,0.587499139,25.8815552
81,USGS,5355200,12/21/1991,906.0,0.582356915,25.6550208
82,USGS,5355200,12/22/1991,900.0,0.578500247,25.48512
83,USGS,5355200,12/23/1991,898.0,0.577214691,25.4284864
84,USGS,5355200,12/24/1991,890.0,0.572072466,25.201952
85,USGS,5355200,12/25/1991,899.0,0.577857469,25.4568032
86,USGS,5355200,12/26/1991,875.0,0.562430795,24.7772
87,USGS,5355200,12/27/1991,850.0,0.546361344,24.06928
88,USGS,5355200,12/28/1991,840.0,0.539933564,23.786112
89,USGS,5355200,12/29/1991,833.0,0.535434117,23.5878944
90,USGS,5355200,12/30/1991,824.0,0.529649115,23.3330432
91,USGS,5355200,12/31/1991,812.0,0.521935778,22.9932416
92,USGS,5355200,1/1/1992,805.0,0.517436332,22.795023999999998
93,USGS,5355200,1/2/1992,785.0,0.504580771,22.228688
94,USGS,5355200,1/3/1992,782.0,0.502652437,22.1437376
95,USGS,5355200,1/4/1992,779.0,0.500724102,22.0587872
96,USGS,5355200,1/5/1992,842.0,0.54121912,23.8427456
97,USGS,5355200,1/6/1992,867.0,0.557288571,24.5506656
98,USGS,5355200,1/7/1992,854.0,0.548932456,24.1825472
99,USGS,5355200,1/8/1992,698.0,0.44865908,19.7651264
100,USGS,5355200,1/9/1992,753.0,0.484011873,21.3225504
101,USGS,5355200,1/10/1992,693.0,0.44544519,19.623542399999998
102,USGS,5355200,1/11/1992,737.0,0.473727424,20.8694816
103,USGS,5355200,1/12/1992,826.0,0.530934671,23.3896768
104,USGS,5355200,1/13/1992,754.0,0.484654651,21.3508672
105,USGS,5355200,1/14/1992,615.0,0.395308502,17.414832
106,USGS,5355200,1/15/1992,526.0,0.338101255,14.8946368
107,USGS,5355200,1/16/1992,298.0,0.191547859,8.4384064
108,USGS,5355200,1/17/1992,586.0,0.376667938,16.5936448
109,USGS,5355200,1/18/1992,785.0,0.504580771,22.228688
110,USGS,5355200,1/19/1992,829.0,0.532863005,23.4746272
