,Site,Timestamp,Precipitation (in.),Precipitation (in.) Quality,Level (ft),Level (ft) Quality,Discharge (cfs),Discharge (cfs) Quality,Discharge [m^3/s]
31646,33145001,1934-10-01,,,,,152.0,Approved Ext Data,4.3041606832
31645,33145001,1934-10-02,,,,,149.0,Approved Ext Data,4.2192101434
31644,33145001,1934-10-03,,,,,149.0,Approved Ext Data,4.2192101434
31643,33145001,1934-10-04,,,,,149.0,Approved Ext Data,4.2192101434
31642,33145001,1934-10-05,,,,,149.0,Approved Ext Data,4.2192101434
31641,33145001,1934-10-06,,,,,142.0,Approved Ext Data,4.0209922172
31640,33145001,1934-10-07,,,,,138.0,Approved Ext Data,3.9077248308000003
31639,33145001,1934-10-08,,,,,134.0,Approved Ext Data,3.7944574444
31638,33145001,1934-10-09,,,,,131.0,Approved Ext Data,3.7095069046
31637,33145001,1934-10-10,,,,,131.0,Approved Ext Data,3.7095069046
31636,33145001,1934-10-11,,,,,131.0,Approved Ext Data,3.7095069046
31635,33145001,1934-10-12,,,,,131.0,Approved Ext Data,3.7095069046
31634,33145001,1934-10-13,,,,,131.0,Approved Ext Data,3.7095069046
31633,33145001,1934-10-14,,,,,131.0,Approved Ext Data,3.7095069046
31632,33145001,1934-10-15,,,,,127.0,Approved Ext Data,3.5962395182
31631,33145001,1934-10-16,,,,,124.0,Approved Ext Data,3.5112889784
31630,33145001,1934-10-17,,,,,124.0,Approved Ext Data,3.5112889784
31629,33145001,1934-10-18,,,,,124.0,Approved Ext Data,3.5112889784
31628,33145001,1934-10-19,,,,,124.0,Approved Ext Data,3.5112889784
31627,33145001,1934-10-20,,,,,335.0,Approved Ext Data,9.486143611000001
31626,33145001,1934-10-21,,,,,258.0,Approved Ext Data,7.3057464228
31625,33145001,1934-10-22,,,,,200.0,Approved Ext Data,5.66336932
31624,33145001,1934-10-23,,,,,179.0,Approved Ext Data,5.0687155414000005
31623,33145001,1934-10-24,,,,,183.0,Approved Ext Data,5.1819829278
31622,33145001,1934-10-25,,,,,218.0,Approved Ext Data,6.1730725588
31621,33145001,1934-10-26,,,,,222.0,Approved Ext Data,6.2863399452
31620,33145001,1934-10-27,,,,,226.0,Approved Ext Data,6.3996073316
31619,33145001,1934-10-28,,,,,204.0,Approved Ext Data,5.7766367064
31618,33145001,1934-10-29,,,,,204.0,Approved Ext Data,5.7766367064
31617,33145001,1934-10-30,,,,,191.0,Approved Ext Data,5.4085177006
31616,33145001,1934-10-31,,,,,187.0,Approved Ext Data,5.2952503142000005
31615,33145001,1934-11-01,,,,,183.0,Approved Ext Data,5.1819829278
31614,33145001,1934-11-02,,,,,179.0,Approved Ext Data,5.0687155414000005
31613,33145001,1934-11-03,,,,,183.0,Approved Ext Data,5.1819829278
31612,33145001,1934-11-04,,,,,183.0,Approved Ext Data,5.1819829278
31611,33145001,1934-11-05,,,,,176.0,Approved Ext Data,4.9837650016
31610,33145001,1934-11-06,,,,,168.0,Approved Ext Data,4.7572302288
31609,33145001,1934-11-07,,,,,168.0,Approved Ext Data,4.7572302288
31608,33145001,1934-11-08,,,,,164.0,Approved Ext Data,4.643962842400001
31607,33145001,1934-11-09,,,,,164.0,Approved Ext Data,4.643962842400001
31606,33145001,1934-11-10,,,,,160.0,Approved Ext Data,4.530695456
31605,33145001,1934-11-11,,,,,156.0,Approved Ext Data,4.4174280696
31604,33145001,1934-11-12,,,,,156.0,Approved Ext Data,4.4174280696
31603,33145001,1934-11-13,,,,,152.0,Approved Ext Data,4.3041606832
31602,33145001,1934-11-14,,,,,149.0,Approved Ext Data,4.2192101434
31601,33145001,1934-11-15,,,,,149.0,Approved Ext Data,4.2192101434
31600,33145001,1934-11-16,,,,,149.0,Approved Ext Data,4.2192101434
31599,33145001,1934-11-17,,,,,145.0,Approved Ext Data,4.105942757
31598,33145001,1934-11-18,,,,,145.0,Approved Ext Data,4.105942757
31597,33145001,1934-11-19,,,,,145.0,Approved Ext Data,4.105942757
31596,33145001,1934-11-20,,,,,142.0,Approved Ext Data,4.0209922172
31595,33145001,1934-11-21,,,,,218.0,Approved Ext Data,6.1730725588
31594,33145001,1934-11-22,,,,,218.0,Approved Ext Data,6.1730725588
31593,33145001,1934-11-23,,,,,218.0,Approved Ext Data,6.1730725588
31592,33145001,1934-11-24,,,,,218.0,Approved Ext Data,6.1730725588
31591,33145001,1934-11-25,,,,,218.0,Approved Ext Data,6.1730725588
31590,33145001,1934-11-26,,,,,213.0,Approved Ext Data,6.0314883258
31589,33145001,1934-11-27,,,,,213.0,Approved Ext Data,6.0314883258
31588,33145001,1934-11-28,,,,,208.0,Approved Ext Data,5.8899040928
31587,33145001,1934-11-29,,,,,204.0,Approved Ext Data,5.7766367064
31586,33145001,1934-11-30,,,,,195.0,Approved Ext Data,5.5217850870000005
31585,33145001,1934-12-01,,,,,187.0,Approved Ext Data,5.2952503142000005
31584,33145001,1934-12-02,,,,,183.0,Approved Ext Data,5.1819829278
31583,33145001,1934-12-03,,,,,179.0,Approved Ext Data,5.0687155414000005
31582,33145001,1934-12-04,,,,,168.0,Approved Ext Data,4.7572302288
31581,33145001,1934-12-05,,,,,156.0,Approved Ext Data,4.4174280696
31580,33145001,1934-12-06,,,,,172.0,Approved Ext Data,4.8704976152
31579,33145001,1934-12-07,,,,,179.0,Approved Ext Data,5.0687155414000005
31578,33145001,1934-12-08,,,,,195.0,Approved Ext Data,5.5217850870000005
31577,33145001,1934-12-09,,,,,191.0,Approved Ext Data,5.4085177006
31576,33145001,1934-12-10,,,,,179.0,Approved Ext Data,5.0687155414000005
31575,33145001,1934-12-11,,,,,172.0,Approved Ext Data,4.8704976152
31574,33145001,1934-12-12,,,,,168.0,Approved Ext Data,4.7572302288
31573,33145001,1934-12-13,,,,,164.0,Approved Ext Data,4.643962842400001
31572,33145001,1934-12-14,,,,,164.0,Approved Ext Data,4.643962842400001
31571,33145001,1934-12-15,,,,,164.0,Approved Ext Data,4.643962842400001
31570,33145001,1934-12-16,,,,,179.0,Approved Ext Data,5.0687155414000005
31569,33145001,1934-12-17,,,,,187.0,Approved Ext Data,5.2952503142000005
31568,33145001,1934-12-18,,,,,187.0,Approved Ext Data,5.2952503142000005
